age,mean_change,std_change,n
60,-0.04323399518823824,0.17338941238231573,20
61,0.039780582577492146,0.181819748240337,23
62,0.010589857044306377,0.17749417571976447,40
63,-0.02233601181052879,0.21369893560002068,33
64,-0.018036942457302266,0.17495438748009054,73
65,0.01779151192795177,0.20078635025236358,56
66,0.0348546780492795,0.20740468550685995,107
67,0.0034601644823309945,0.201746045798955,70
68,0.00409440654342723,0.20468513995494916,160
69,0.00031060225037469146,0.19534621560135398,93
70,0.004474784929887063,0.18701856481449233,172
71,-0.025558367912390988,0.18377928041225847,107
72,-0.02432022410751603,0.1948641016209443,200
73,0.009858229955682076,0.17234113456077885,109
74,-0.0252777197930479,0.19847811247786012,208
75,0.0006810420756391562,0.18158533693844744,98
76,0.0036733990125543134,0.20609948036943881,177
77,-0.005752358945135204,0.20514873073675827,94
78,-0.03406829970236441,0.18920687467855068,157
79,0.009057818413098951,0.20478263747077524,77
80,-0.054973195818157426,0.18242619477811614,121
81,-0.03156575584879443,0.2033207045806408,83
82,-0.009621658017031687,0.17015978522178848,91
83,-0.0037872058238339083,0.1811603515230109,61
84,-0.06137479846524002,0.20974149515316812,69
85,0.04400521586941204,0.20076743004088496,55
